scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect,file_size_mb,estimated_vram_mb
kitchen,0.5,visibility,,18.46433644896857,0.7648163505962917,0.019533018862629,"[22.13982785156549, 20.81708213552142, 34.12622995819822, 20.13334727385952, 20.85268351123336, 20.336668847844294, 18.48664793026933, 18.641668953685443, 21.011128410033763, 19.237397438383002, 17.35446925701727, 18.194585619445512, 17.907706109815766, 18.150501161854105, 16.427346001889454, 19.706734522437937, 19.315670176163074, 17.50883848261948, 17.294060487234525, 17.42416473612415, 14.772915304008606, 15.958220410605028, 16.311531044810238, 15.774224095090688, 15.08699030777837, 15.709014754556772, 16.614346298784348, 15.93791434321653, 15.223106213930777, 18.5732102821857, 16.668403680973046, 18.669256698918545, 19.03981691612695, 18.07542560675127, 18.770640890967965]",926168,6c623a68e43d28e7,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
kitchen,0.5,path_aware_v5_pure_sum,,28.294084034881628,0.9540842533111572,0.0036663583080683,"[25.261972817407194, 26.994410429317334, 36.98405672174045, 29.368203296562918, 28.693922739193304, 28.324547711901864, 28.636273204273692, 28.846188673483976, 28.430578925708723, 29.56536007211438, 28.06516964487457, 28.093459223035037, 28.330947708287525, 28.818172591429665, 27.385043848346825, 27.046644583788492, 29.12692662175254, 28.087974776992457, 27.607542292320662, 28.177148722931562, 26.101625379312377, 26.750748020797328, 27.43301578968371, 27.32346475368777, 26.784374062699573, 27.301430770790912, 27.79268612963492, 27.319817690708078, 26.679097455567856, 29.537336997476945, 27.59646927212732, 29.040045978206056, 29.854830811200614, 29.32138314893033, 29.61207035457003]",926168,1e5b77df10155eae,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
kitchen,0.5,path_aware_v5_linear_falloff,,26.68686713154955,0.9380149245262146,0.0048469279934319,"[26.73378722268488, 26.721586206948462, 37.872125853317996, 27.42383784202748, 27.75194084019784, 27.240107818472946, 26.690635342099334, 26.648595659466125, 27.475920850649793, 27.437170902336074, 26.40165563529962, 26.18602884675191, 26.175241244512794, 26.79313731734526, 25.57994406769513, 27.008937946339696, 27.34266748849044, 26.282676887412304, 26.331959611720528, 26.696289959848052, 24.25697561186196, 24.96607338005001, 25.431555145088037, 25.367054500365782, 24.74588328158871, 25.168877045771197, 25.666746227578106, 25.294516930246704, 24.576790941520116, 26.68679502118435, 25.46229299363749, 27.35073451857405, 27.481527023569022, 27.418960619112696, 27.3713188204694]",926168,24dcc1b3058b97c3,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
kitchen,0.5,path_aware_v5_sqrt_clamp,,26.2793248528442,0.9331732017653328,0.0052460782604092,"[27.10457514348203, 26.464823899053968, 38.0204648887855, 27.008805239775178, 27.395630991124968, 26.957560529218632, 26.208683671739365, 26.162380696546105, 27.255290260566227, 26.998469911846886, 25.9298555992482, 25.714293373977615, 25.659731907332276, 26.35446575874527, 25.07037294043377, 26.974806965471142, 26.871683706702836, 25.789476713494956, 25.91346467832922, 26.22403301959438, 23.72556057440022, 24.497363151399977, 24.92759088145574, 24.8409299845321, 24.21584134169157, 24.64220862598615, 25.13994319705717, 24.76428669110463, 24.052835126822224, 26.182246707943463, 24.93796551171728, 26.93490187381137, 27.005814331272553, 26.957374152630116, 26.872637802254005]",926168,950f6d274c841d16,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
kitchen,0.5,path_aware_v5_weighted_sum,,21.88846721659565,0.8912661586488996,0.0108537358880442,"[13.444698751886072, 16.291966773245417, 7.5654665585440775, 18.33814049130169, 17.304840730438162, 19.04580976455842, 23.22213048312407, 23.691261889300918, 14.83321273787711, 19.072878894542512, 19.759916259243674, 22.163409397882894, 25.28848509297093, 20.222918149080446, 22.533817739944872, 16.229636077560407, 22.10859910602168, 20.46902544369111, 19.80756308408933, 20.046829686669998, 20.491789797361385, 22.047923994806435, 22.576857295194095, 22.41303732935116, 29.045495525402654, 30.269366094593266, 30.795438056820373, 30.527738978062942, 30.574376610824864, 32.379985741774846, 31.967233207792837, 17.201865402304083, 21.04074594790976, 20.78306286933981, 22.54082861733544]",926168,f45f273a4085ea74,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
kitchen,0.5,combined_0.7,0.7,26.47601315945139,0.9477466089384896,0.0055505601772373,"[22.593775569169196, 26.074388193792274, 34.44972252697752, 25.98312364482231, 27.438083069809046, 25.36717886294251, 27.99525818573916, 27.53526464538622, 26.551433591208777, 27.597618854343885, 26.564431706391613, 27.26926744965678, 26.902444455939865, 26.607507733370763, 26.335997101194593, 24.980724158403266, 28.018618225704273, 26.740015629668665, 26.7569103888939, 26.94088674676106, 24.2778012016689, 25.03332536811992, 25.78870014600852, 25.649350706761137, 24.67246224541006, 25.374870301422035, 25.885227428669534, 25.48473562569017, 24.744452788062553, 26.91638601311787, 25.613011734685195, 26.931375595527754, 27.175624978355994, 27.26100331141625, 27.149482395707032]",926168,662c08fffe5877a8,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
kitchen,0.5,raster_importance,,31.1458567161368,0.981014234679086,0.0024251785362139,"[25.709761306517393, 31.531701883411714, 32.13365989511442, 33.869601637815634, 17.09796765385569, 35.61479137980131, 33.71807471491643, 32.23668152731537, 24.873653376656286, 34.4334913556265, 30.408949481827428, 34.51778377969763, 36.37104896729961, 32.499216996370585, 28.533658393614225, 28.010573256112323, 37.167210448648504, 33.29098261320616, 29.340257525953483, 30.051205479302688, 30.483133478852192, 30.641597628931407, 31.159238088104352, 31.238009845307566, 30.727703074733924, 31.337962175806176, 32.78325717632944, 31.323773560176875, 29.722532576170334, 35.00882440756727, 33.12917124012145, 25.209880215597025, 32.64805030795812, 30.391729315727748, 32.8898503003407]",926168,50f6bbed3a26488f,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
kitchen,0.5,random,,19.772308374266597,0.7428700140544346,0.0178042253479361,"[19.809915394673894, 19.532225066036645, 17.45648189440637, 19.947643803011697, 16.53330198551535, 19.744290226404487, 19.12139524952319, 19.047958609120904, 19.69757789986905, 20.69634256606529, 20.158022756052837, 19.878537777588, 19.94457738822437, 20.698757689295388, 18.739152836667316, 20.134015932805433, 20.445180876117238, 19.798116578248642, 19.58391235737939, 19.54242438417136, 18.815250328148394, 19.30959127765296, 19.94266098116531, 20.101152568960742, 19.07401104658579, 19.563285173183047, 20.133857588452212, 19.24318556415788, 18.859417349517095, 20.757664377283064, 20.03144113211336, 21.118150332640134, 21.649270278257113, 21.075560330257783, 21.846463499779173]",926168,ed274927ec43ab00,False,0.1,150.0,1.7777777777777777,16.148727416992188,23.928634643554688
room,0.5,visibility,,29.96556199516028,0.9670396676430336,0.0018415622117829,"[31.07420181004904, 29.482111698821853, 31.504872813759306, 26.3819032667859, 26.234890682455685, 26.719861096699166, 25.98420120958743, 26.83182029794205, 25.326006731501355, 26.712852433678997, 26.736605868639685, 27.28177131811181, 26.759431706615295, 28.101183430243925, 29.698651569199722, 26.819620680693745, 28.233075387638635, 26.708252287799784, 32.32868676838444, 27.763459164998206, 30.597355261871655, 31.287412912553965, 27.680186360830948, 28.73248358092095, 31.505495241661908, 31.942811664204275, 34.75943756882173, 33.26995983517627, 31.368230007829375, 29.69114353041576, 33.621154870412255, 27.42959019147735, 29.136450833374123, 30.62625334241648, 31.256179786219874, 36.20141656153995, 30.391011998770363, 45.80660876339667, 36.67027527575085]",796688,2d87fbdc3f827337,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
room,0.5,path_aware_v5_pure_sum,,37.48476715322031,0.9891807727324656,0.0005539222293242,"[42.245478211292486, 41.93771198753845, 42.72314855430886, 31.975828604580357, 32.54629008794187, 33.05537030547122, 31.115362578136345, 33.12086077170454, 31.91162995921774, 31.132000752094626, 32.205789798408404, 31.590537911900768, 31.393298929017178, 34.19061627922836, 34.321445544262026, 31.348645617871274, 33.519498435500886, 31.847601570770863, 43.13474559354275, 40.1861258355494, 37.49709819976715, 43.30077496325313, 40.93235610413774, 38.35568305414097, 36.459016420786725, 42.92105729101288, 34.76844045749917, 45.31957776869818, 39.03772536715089, 36.37468737506293, 45.08095076822279, 34.008603613445906, 34.6118997294703, 43.02126867342019, 30.469126213995345, 37.432458266673514, 47.32465149280038, 45.70307754969714, 53.785478338018386]",796688,9584ac022473c824,False,0.1,150.0,1.7777777777777777,13.926055908203125,20.57958984375
