scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect
kitchen,0.7,path_aware_v5_pure_sum,,39.43671599538724,0.9948804463659014,0.0004131497250844924,"[36.00887823586192, 37.94997348561302, 48.604527381246726, 40.78977868365564, 37.2622320630882, 39.39845247472556, 39.58522594097866, 40.04425781619996, 38.378374681696926, 40.60168517179069, 39.55104702379258, 39.036329238936375, 39.055803709603445, 40.04491053582562, 38.568995938645315, 36.996030423716924, 40.17156783363283, 39.67875769076239, 39.45271933814742, 39.81532098131304, 38.11034563597226, 38.18659016209581, 39.20873755411321, 39.20978370584828, 38.314045557105835, 39.00482513205144, 39.49560134035514, 39.154135255852786, 38.47733806052335, 40.418563246646514, 39.15353272108541, 39.269482399691015, 40.49236085583202, 40.14433777420115, 40.650511787945945]",1296635,4c9b9da3c5f9593d,False,0.1,150.0,1.7777777777777777
kitchen,0.5,path_aware_v5_pure_sum,,28.294084034881628,0.9540842533111572,0.0038941901385052395,"[25.261972817407194, 26.994410429317334, 36.98405672174045, 29.368203296562918, 28.693922739193304, 28.324547711901864, 28.636273204273692, 28.846188673483976, 28.430578925708723, 29.56536007211438, 28.06516964487457, 28.093459223035037, 28.330947708287525, 28.818172591429665, 27.385043848346825, 27.046644583788492, 29.12692662175254, 28.087974776992457, 27.607542292320662, 28.177148722931562, 26.101625379312377, 26.750748020797328, 27.43301578968371, 27.32346475368777, 26.784374062699573, 27.301430770790912, 27.79268612963492, 27.319817690708078, 26.679097455567856, 29.537336997476945, 27.59646927212732, 29.040045978206056, 29.854830811200614, 29.32138314893033, 29.61207035457003]",926168,1e5b77df10155eae,False,0.1,150.0,1.7777777777777777
kitchen,0.3,path_aware_v5_pure_sum,,20.214721364377137,0.8056254131453378,0.01593223544436374,"[19.670675769452608, 20.497219128053423, 29.21001648744593, 21.191780042870583, 21.012784543597792, 20.903776531972362, 20.29568523211161, 20.436777842463275, 21.01021692786143, 21.576328051394142, 19.750852798933323, 19.91148362270523, 20.072456489025356, 20.646876089041957, 18.762995465949707, 20.41771122478742, 21.12486738169676, 19.62728647210906, 19.387707926182667, 19.553924155916327, 17.482728466589833, 18.475245175058014, 18.922174168964933, 18.561749725738956, 18.037781155048688, 18.673334863545136, 19.415240632293543, 18.735569511934333, 18.139138844503893, 21.716328015536696, 19.355171376760975, 20.7383589216601, 21.864708579428815, 20.76798849207193, 21.56830764049301]",555701,1ae488ee16e07824,False,0.1,150.0,1.7777777777777777
room,0.7,path_aware_v5_pure_sum,,49.037719089516735,0.9985686250222034,6.818476918350569e-05,"[57.484104108169674, 56.99281254678067, 58.03047835883494, 39.28787510443891, 43.03605563907116, 40.89430046825803, 38.79928873694348, 44.036092617624156, 40.27739129122239, 40.403462240206444, 39.64676946036905, 40.893312770770116, 40.95750701760381, 43.45144568142252, 45.61272895105593, 41.22837757238675, 43.03878214960782, 41.08724701476934, 59.282769732881924, 54.34376673342433, 45.759342364105606, 57.422270191963804, 54.87376237683261, 49.49508592763436, 43.35945860145177, 57.28751913296412, 48.96580765937478, 58.044451911186215, 52.14568902829542, 46.88915252109204, 58.74731123554934, 41.76205384694971, 46.74368933217351, 52.85734144612336, 45.236456921458995, 50.14235730328429, 66.90297027399998, 60.17265491878128, 66.87910130208998]",1115364,04e7277564cb1974,False,0.1,150.0,1.7777777777777777
room,0.5,path_aware_v5_pure_sum,,37.48476715322031,0.9891807727324657,0.000562318152100115,"[42.245478211292486, 41.93771198753845, 42.72314855430886, 31.975828604580357, 32.54629008794187, 33.05537030547122, 31.115362578136345, 33.12086077170454, 31.91162995921774, 31.132000752094626, 32.205789798408404, 31.590537911900768, 31.393298929017178, 34.19061627922836, 34.321445544262026, 31.348645617871274, 33.519498435500886, 31.847601570770863, 43.13474559354275, 40.1861258355494, 37.49709819976715, 43.30077496325313, 40.93235610413774, 38.35568305414097, 36.459016420786725, 42.92105729101288, 34.76844045749917, 45.31957776869818, 39.03772536715089, 36.37468737506293, 45.08095076822279, 34.008603613445906, 34.6118997294703, 43.02126867342019, 30.469126213995345, 37.432458266673514, 47.32465149280038, 45.70307754969714, 53.785478338018386]",796688,9584ac022473c824,False,0.1,150.0,1.7777777777777777
room,0.3,path_aware_v5_pure_sum,,29.078963732813047,0.9577255478272071,0.002751053265782479,"[33.48608287859235, 32.789283745030616, 33.67578149888577, 23.974801771349913, 23.957731677061645, 25.32885773074903, 24.012624083388694, 24.457634977257896, 23.92398826978138, 24.307144228723573, 24.123423586262177, 23.785483407669588, 24.217205571079266, 27.52320857345601, 25.91391447165083, 25.052756605497784, 27.189526037102855, 23.239709765486825, 33.81041997497433, 30.198799818944853, 31.957320198384664, 34.06334237230238, 31.103502730965744, 30.608167410856687, 32.30517687706003, 33.46735530990494, 26.925944496140435, 35.9233816364048, 31.46046064577591, 29.38472255081928, 34.755935029525745, 27.128382652927073, 26.25616177732839, 33.146738091792145, 24.164369091785666, 26.035367849965553, 33.365265933387455, 37.00352027660517, 40.05609197483112]",478013,522c8f4f67090aa0,False,0.1,150.0,1.7777777777777777
counter,0.7,path_aware_v5_pure_sum,,44.430365147395754,0.9983491202195486,0.0001104355347706587,"[43.497498277756335, 33.374264647897924, 44.28883793518622, 46.00129353143476, 45.19162494269012, 43.7027309242258, 46.975767630049546, 45.99612310947553, 43.2030912484293, 42.603664965810864, 42.81110686344182, 43.315871908411914, 45.12695226386731, 41.32312256570628, 45.67611235568238, 42.58701798908859, 43.39636306037563, 45.802574780202434, 48.49607525231281, 44.30402938133176, 45.33326770137687, 50.27667675666696, 44.60279568385999, 46.87977745853421, 45.81778261270736, 42.7898182716909, 47.75157403212407, 43.65877537971777, 44.70474646824578, 43.42161642357152]",856070,1700f6960d5d415e,False,0.1,150.0,1.7777777777777777
counter,0.5,path_aware_v5_pure_sum,,31.970325933538774,0.9808677971363068,0.0011563456151634454,"[30.371982090407226, 27.533765447521773, 31.20491058288726, 30.74996345050583, 32.89275734257076, 29.80248737105046, 31.346259533967398, 32.7609705713919, 32.05819918191434, 30.574440355087958, 30.12368316326748, 34.239809469294855, 31.357802701567007, 28.979244354021446, 32.104012596065296, 30.738470015311368, 30.535928466070636, 31.136426851325282, 33.35976029960728, 32.42017627522153, 33.8261443904344, 38.34605100506226, 32.435627292703366, 34.018192359764, 35.296507502446474, 33.64137260542172, 34.96021966878043, 30.262237413588302, 31.92703952257478, 30.105336126330442]",611478,b7f90639fa35e9c8,False,0.1,150.0,1.7777777777777777
counter,0.3,path_aware_v5_pure_sum,,24.706660175363105,0.9345833758513132,0.004565005675734331,"[23.592209124509715, 23.45871536135941, 24.465174052859094, 24.578439748148107, 26.939803835881946, 22.49727397545163, 23.986598036808484, 24.628335669674147, 25.12466230538392, 23.65944962203255, 22.76528629223291, 26.986801008572023, 23.675555403268067, 21.97565854991788, 24.662091095743644, 24.17052403977143, 22.54445796573001, 22.631043007796265, 25.598256211778825, 24.374121963191932, 25.93536911497075, 29.63679096694456, 24.94567631952932, 25.992828941972455, 27.922456449333914, 26.06807895103557, 27.157085327948707, 23.24490469407758, 24.85051144152212, 23.13164578344603]",366887,88f6c383e592e47e,False,0.1,150.0,1.7777777777777777
truck,0.7,path_aware_v5_pure_sum,,35.23681330206014,0.9912425130605698,0.0006981508807939463,"[32.98873155262838, 33.29123309783736, 33.865537047285095, 28.84165992262468, 31.320352345374122, 33.371295947636554, 29.57671239820919, 36.513225897694554, 31.878140687400183, 41.410606140922226, 37.51036268006034, 32.48416500566034, 32.177764995473, 33.73189102357263, 33.28826680956939, 33.0888433894703, 33.16547117626893, 33.2278705993496, 27.993413092248694, 40.97228155629038, 38.840247637854716, 38.07900138677116, 37.7991873460692, 34.918705640510396, 41.60589832052751, 33.12058945229718, 34.78461963890038, 45.371084100726634, 36.935633366254365, 39.57047439580291, 40.05468338361803, 35.80007563101618]",1778859,e5e1f1421f401b73,False,0.1,150.0,1.7777777777777777
