scene,keep_ratio,method,lambda,mean_psnr,mean_ssim,mean_lpips,per_pose_psnr,kept_count,mask_hash,path_use_pose_meta,path_near,path_far,path_aspect
kitchen,0.5,visibility,,18.193949425943643,0.7711511829069683,0.02018624027619981,"[15.257366828219077, 15.731343508123237, 16.157836036046696, 16.78123200976406, 17.640924722851206, 18.33343144088262, 18.379990887676758, 18.785113999825203, 17.75227188228135, 17.93951511397429, 17.80622138792448, 19.13756133455097, 18.573599494439375, 18.788026474870357, 18.70057125503118, 16.07317627269379, 16.162066542634474, 15.804234651433422, 16.048512693517143, 15.768931781537312, 16.145694720313603, 16.189069348922438, 19.015180156364575, 18.971444438023386, 19.017435328863957, 19.282785869425965, 19.166341321885636, 18.436279107704785, 18.277218245148283, 19.045669609400214, 19.014751613696923, 19.374347147969758, 18.386005576647804, 18.517767776038944, 20.691388226933107, 17.79422780689582, 18.097667160732, 18.370376776638608, 18.272700770868635, 18.170464489579537, 18.104013546410414, 18.308151000220448, 18.41347442029597, 20.048032991476074, 21.12381058805226, 19.749994594438384, 17.367035243818524, 16.70814685285046, 16.358573017472445, 22.13982785156549, 20.81708213552142, 34.12622995819822, 20.13334727385952, 20.85268351123336, 20.336668847844294, 18.48664793026933, 18.641668953685443, 21.011128410033763, 19.237397438383002, 17.35446925701727, 18.194585619445512, 17.907706109815766, 18.150501161854105, 16.427346001889454, 19.706734522437937, 19.315670176163074, 17.50883848261948, 17.294060487234525, 17.42416473612415, 14.772915304008606, 15.958220410605028, 16.311531044810238, 15.774224095090688, 15.08699030777837, 15.709014754556772, 16.614346298784348, 15.93791434321653, 15.223106213930777, 18.5732102821857, 16.668403680973046, 18.669256698918545, 19.03981691612695, 18.07542560675127, 18.770640890967965]",926168,6c623a68e43d28e7,False,0.1,150.0,1.7777777777777777
kitchen,0.5,path_aware_v5_pure_sum,,28.004208533447716,0.9545207704816546,0.004143072113427999,"[26.63995932092368, 26.826449462977774, 27.197610298894077, 27.732136423860982, 28.527281778319384, 29.27983731563323, 29.439404999125273, 29.99017143705277, 28.838039842839123, 28.796304191487256, 28.55964363853769, 29.529050084335815, 29.062427547115654, 29.3103559470137, 29.196097575501597, 27.01309465522857, 27.167494916801274, 26.91439585766673, 27.292181535993734, 27.004693521929383, 27.273978316226927, 27.27195435733405, 24.076724119414266, 24.197757547133957, 23.94158996354937, 24.096790358603826, 24.66666440635489, 28.762527874514866, 28.934629084457892, 29.73831070382875, 29.66649937283743, 29.719265239013183, 28.316068020629643, 28.011226134018745, 21.21276804161517, 28.612454906220552, 28.623301292397393, 29.247993214782113, 29.068928233047906, 28.536896366466316, 28.68608453832707, 29.033828311550337, 29.21301323087073, 30.60047564317844, 31.329496759257097, 30.606218378758566, 27.877304721866373, 26.083198464337762, 26.156181679257358, 26.15508702944576, 27.56661582185163, 34.6260750668906, 29.608836418899607, 28.99615581508219, 28.942184515558456, 28.792792598845345, 28.947602341515154, 28.889426565903573, 29.467446054418403, 28.024221712137802, 28.17143606395711, 28.33260843291132, 28.639096264944254, 27.403546797564097, 27.747796989458358, 29.335060561798354, 28.194150031992873, 27.723478477185793, 28.280280300212826, 26.043969073025433, 26.76336375955238, 27.368029174346233, 27.212803114412267, 26.553756275420916, 27.131742040089648, 27.781560100287223, 27.24549071873681, 26.529226657110556, 29.75554410190853, 27.420986950447013, 24.146125185837573, 29.625555091423852, 27.47946145785925, 29.57324561748829]",926168,d4cd129eb6b6a457,False,0.1,150.0,1.7777777777777777
kitchen,0.5,path_aware_v5_linear_falloff,,26.464120213151325,0.9408149662471953,0.005379959195297921,"[24.32085944627683, 24.452362113013955, 24.73241353847248, 25.132164462513224, 25.73998471068647, 26.17004908317384, 26.212530150572334, 26.655814762536053, 25.847915667859674, 26.05774358743392, 26.020796044612084, 27.049811358169713, 26.727599253632995, 26.99255918467987, 26.90809345619953, 24.87919408279135, 25.059286999610553, 25.014919246274804, 25.44329589109494, 25.425366783847124, 25.80631915462928, 25.967049459641235, 27.208840469254877, 27.14708600432253, 27.17653949895172, 27.341717454559596, 27.23372758315275, 26.742996622063266, 26.684174665511648, 27.27293334349312, 27.278674976403913, 27.516692373739918, 26.389753906377745, 26.12096593001132, 22.634388925210374, 26.673982453331245, 27.136501728968273, 27.152436944684162, 26.85699341619022, 26.60246252389342, 26.511973997989084, 26.642965840488642, 26.76428103962248, 28.532186493983012, 29.34709128304561, 28.391519868038102, 26.144592738523084, 25.05144680967865, 24.639902084362248, 27.036249194137593, 26.997680882480317, 38.19127953661431, 27.469659238156574, 27.986527349044074, 27.512350209740735, 26.821622103789373, 26.61759177177478, 27.610281886772302, 27.23762604136443, 26.105176060852916, 26.10353350763082, 26.071410126023885, 26.41319799148237, 25.36993977982236, 27.311550149940803, 27.56993597392732, 26.514033948945514, 26.53869811599444, 26.8798240246525, 24.33140633168353, 25.183130101648906, 25.444397200670544, 25.266202695756064, 24.487980785595916, 24.838600400860447, 25.629408521859418, 25.13589699498305, 24.22217510997941, 26.478399193802204, 25.256509552777068, 26.993123096752498, 27.246007077410273, 27.037882750386856, 27.263852783824074]",926168,1c0df8237bee88d4,False,0.1,150.0,1.7777777777777777
kitchen,0.5,combined_0.7,0.7,26.211024756966918,0.9466097212973095,0.005399344854162163,"[24.265108978443827, 24.6456823331257, 25.024185358565152, 25.478921433083098, 26.10527941034921, 26.587119104245353, 26.563901088271034, 27.09086379859118, 26.026150811373082, 26.15933407692639, 26.011658137003085, 27.059942111887175, 26.682386651514566, 26.951484032838188, 26.99641443916382, 24.89589976030303, 25.1120882493897, 24.945949241230153, 25.37377576552103, 25.268589958390972, 25.652564392673952, 25.83647409639463, 26.613246248791647, 26.533481467687725, 26.56756960389972, 26.797607511382274, 26.687383447774472, 26.270105868536557, 26.439214041716774, 26.88049190993826, 26.780455733111843, 26.910174134567754, 26.398178042616614, 26.638210890385015, 23.077570235609464, 26.451274183501795, 26.749477201893008, 26.78423362444649, 26.710282274200694, 26.195728537925213, 26.287220518731317, 26.3784731966308, 26.549804561954478, 27.093554988151244, 27.11818384336025, 26.924247042090855, 25.80544157317368, 24.811941149834553, 24.537474064646446, 22.82803557806288, 26.37985294831666, 34.83095336950273, 26.020648749713978, 27.544571642988885, 25.722603530054954, 28.025050578396137, 27.434591648345688, 26.726938129043138, 27.36645925432528, 26.282667425176673, 27.0823105441934, 26.69499440623417, 26.235584141052403, 26.030965905463198, 25.229045822549743, 28.10902360318533, 26.730763664478808, 26.760854460078324, 26.94036193840764, 24.05913502891151, 24.918978318121113, 25.507604896110085, 25.319011100323042, 24.2455645983205, 24.899518127463573, 25.640333384528496, 25.18473766365357, 24.238138542800918, 26.90364957463428, 25.32380659527963, 26.496426093837115, 26.780181779515498, 26.69807381858266, 26.809843597725305]",926168,beb02d35e670cd4f,False,0.1,150.0,1.7777777777777777
room,0.5,visibility,,31.477542858861558,0.9716720206940428,0.0019904330801124317,"[27.315709712913407, 27.153944764036506, 26.457657280919435, 25.898553628866683, 27.593761187224967, 28.37280441079399, 28.385322716200577, 27.804491922669, 25.93056728096603, 26.148845895335427, 27.12738270871069, 26.034019726581498, 26.836877239355708, 30.684484494827093, 32.61552400245393, 31.972711139545748, 33.00398018478589, 33.06963615269636, 32.273047810123686, 31.701947113172974, 31.573150097686565, 33.213895582635566, 33.51523225010478, 33.735916695343526, 32.3426675805693, 31.68554579729551, 31.43484492132383, 33.76861298234124, 31.686299402902183, 31.758530180604755, 31.394393570405516, 27.646427167748712, 28.421575126412016, 26.920173547781815, 30.294646856250008, 31.772627925930443, 31.95280366638059, 32.7377433610276, 33.18927772938348, 33.28187291157577, 35.09849052714326, 38.310342634037625, 49.68171904888923, 48.779684774316436, 52.5091682021288, 51.39282010611353, 51.2112858970646, 36.586763348526816, 36.422241262523585, 35.29647758238581, 33.704099709905826, 30.90692561944055, 29.492576498929974, 26.200113227471373, 25.931895756975024, 31.07420181004904, 29.482111698821853, 31.504872813759306, 26.3819032667859, 26.234890682455685, 26.719861096699166, 25.98420120958743, 26.83182029794205, 25.326006731501355, 26.712852433678997, 26.736605868639685, 27.28177131811181, 26.759431706615295, 28.101183430243925, 29.698651569199722, 26.819620680693745, 28.233075387638635, 26.708252287799784, 32.32868676838444, 27.763459164998206, 30.597355261871655, 31.287412912553965, 27.680186360830948, 28.73248358092095, 31.505495241661908, 31.942811664204275, 34.75943756882173, 33.26995983517627, 31.368230007829375, 29.69114353041576, 33.621154870412255, 27.42959019147735, 29.136450833374123, 30.62625334241648, 31.256179786219874, 36.20141656153995, 30.391011998770363, 45.80660876339667, 36.67027527575085]",796688,2d87fbdc3f827337,False,0.1,150.0,1.7777777777777777
room,0.5,path_aware_v5_pure_sum,,37.65732144259305,0.9875265391583138,0.0008767054398939511,"[31.80876824497277, 31.52066447642831, 31.61230116817181, 31.247569846853924, 32.487498710603916, 33.8975632272948, 34.49774297564034, 34.62543648079248, 32.43169113233316, 31.873340630017395, 32.327834497249704, 34.447748751843065, 34.94882308984233, 41.860782430448076, 40.99864792458579, 39.60405548304699, 39.19822239466793, 40.64525021035409, 32.57597309071294, 29.11584463864408, 28.96782937880079, 31.294761044908693, 40.07381717681404, 42.28873230815086, 44.10656114892491, 40.826572336232545, 30.943822718486924, 20.90459699022487, 32.23410773573144, 42.69501213172103, 43.00842195799589, 33.30376336078166, 32.05505461301628, 32.237093945019744, 41.882023744222494, 44.29224571871349, 44.4152515553889, 44.38741934992823, 44.716967921139414, 44.62928306723753, 44.708369163674924, 45.20064911936718, 29.00162634694699, 38.80190884084566, 47.44274782904161, 52.010779532925405, 50.89252501887675, 50.003265632842286, 52.828756663381725, 51.308421213294075, 44.526904052973975, 36.201429230097, 33.375976293303836, 31.94083119335272, 31.481349681553063, 42.6530807728518, 42.2902846762782, 43.18226131678354, 32.043827965713014, 32.67145557304347, 33.14717254047816, 31.1904223729577, 33.27821990388261, 32.0294428106958, 31.219940302713557, 32.2903777543887, 31.638441561004246, 31.430364952926034, 34.27400248015359, 34.465077080496386, 31.390765767049196, 33.598401921887195, 31.945488865955838, 43.62515313970977, 40.11081417396123, 37.594361182211394, 43.73447303828567, 41.303615626954546, 39.31158247962847, 36.50024304370543, 43.46797300700777, 34.815493371012295, 45.63638348397369, 39.110603752286806, 36.91527855746769, 45.623839395817605, 34.157773880256734, 34.84408681957944, 43.12739618365153, 28.21009180179018, 19.46020302461477, 47.715142454099855, 44.976923901519264, 54.09311724653334]",796688,b57878f301246b1b,False,0.1,150.0,1.7777777777777777
room,0.5,path_aware_v5_linear_falloff,,37.32322473068093,0.9869970279805204,0.000900380200135337,"[30.464517830173975, 30.55854639792281, 30.78306002825293, 30.427184633678955, 31.63379720027652, 32.85361802623071, 33.47771404220379, 33.58337801865617, 31.386812340368454, 31.025030939069445, 31.57975846629931, 33.43847574037439, 34.114199834128186, 39.85292268554739, 41.23087146565957, 40.024978609010674, 39.67813971036829, 41.49428026253787, 34.05717020547155, 31.673034102102417, 32.06933244490732, 34.930320759148806, 42.91976827975341, 44.502747325678264, 45.36055480782888, 42.79572854834463, 30.736152522381097, 20.796278955323615, 33.64380934562438, 43.60646507297133, 42.38797942592047, 32.73771277369264, 31.287857461386896, 31.401471158419724, 39.7802792970175, 42.56872534583305, 42.934457465880406, 43.33868562953376, 43.80723710595141, 43.761355965610576, 43.752229629144786, 45.53806951813534, 42.70785557490492, 39.35394815360332, 48.91808593884855, 56.113226571549724, 51.0252752920577, 48.31389385479931, 51.24047433949478, 47.42305809525148, 40.91115676829659, 35.01099353437982, 32.60142353733371, 30.999410699523363, 30.57064664185175, 40.92894259452768, 40.681812579513384, 41.83950440793438, 30.572630206245886, 31.515588320902435, 31.817745855137535, 29.928847622741852, 32.129373473952064, 30.7298338893959, 30.323163204367567, 30.729092544664688, 30.845483025283524, 30.612409316608485, 33.112057775553545, 33.57988833949272, 30.479202639150177, 32.461443545941066, 31.091880781059263, 42.28230885700414, 39.08397637885283, 36.34826061044579, 42.06001562478675, 39.536699682737805, 39.17246871333227, 35.556384150219216, 42.33713111455942, 37.996622650732455, 43.749922990071966, 38.50546243058182, 37.486415284452654, 42.85556617800794, 32.447406365277274, 34.02335177820186, 41.61968567999359, 31.71326660081483, 19.35063315980269, 45.040418809333566, 48.69357986864973, 51.96048925496087]",796688,e333265fd8be131d,False,0.1,150.0,1.7777777777777777
room,0.5,combined_0.7,0.7,34.55360651582124,0.9744397794946711,0.002209001527963916,"[24.68896941006422, 23.420331213399503, 22.805896876928003, 22.503055659799898, 22.62352101142367, 23.264730988451507, 23.254440528694293, 23.889549949850093, 22.40939045421866, 21.721567886887883, 22.23516690460754, 26.176064692298844, 27.568231066288877, 39.68717841694601, 36.71510442123674, 35.66872072207482, 35.4575704987217, 38.47769782228014, 33.97724011544193, 31.530567012447534, 30.992712532952865, 33.513461500374156, 39.1858287770562, 41.5203274375472, 41.45831260794612, 40.11746573421196, 38.25955921983276, 37.66818530841985, 38.510172041084196, 40.74660450683193, 40.094855193814674, 25.62213299261248, 25.326408494102672, 26.288461156046804, 39.14729214773298, 42.05088770883552, 41.915185391877756, 42.31107648078438, 42.91420260428316, 42.81338688109071, 43.08042771846302, 44.53321000830711, 50.76267953024848, 50.395921781620586, 58.61880301409201, 58.52659498688213, 53.6878913918769, 48.25851564918682, 49.486316097797086, 42.80040296829212, 37.015675943467315, 32.9777965016818, 31.786583768762824, 29.89406630905306, 29.508985416815072, 39.32515904210089, 39.688679704446855, 40.39952219029417, 23.629457832530395, 23.845269666522025, 22.806857611480908, 24.250498869452557, 23.987051105274652, 22.386044649214302, 23.373613368848307, 24.61824137473974, 25.510274268597037, 24.94486818419692, 25.39712924182094, 24.67647320518743, 29.35395872453062, 25.90044050327783, 24.265640601113105, 41.64715058014867, 36.60179095580501, 35.68250273203159, 40.81844675327084, 37.284137648500845, 35.77950279102626, 35.472724293727815, 40.7216036532478, 35.91747982669189, 42.00654560011997, 37.896123768501475, 33.89924248008934, 41.83965968901228, 26.349117529199958, 24.213329572809947, 37.172553796640734, 30.019200192176942, 37.53702388091953, 42.93234809989311, 48.20243590695553, 47.82152713675125]",796688,1d45a2733c889326,False,0.1,150.0,1.7777777777777777
counter,0.5,visibility,,23.334275674733234,0.9187591191795137,0.007233108161017299,"[26.960534917706937, 25.80636579148265, 25.473855671554016, 25.23269109675374, 25.369375365783213, 25.130840219307295, 25.024320401473332, 24.110019001631517, 23.59779035744937, 23.59968894775662, 24.13497852881125, 24.46607482700026, 24.996585395163578, 25.108633805162988, 25.589926325039315, 25.390154381483487, 25.52035142300234, 24.6484645424352, 24.14106442807753, 23.646463099411186, 23.027206459644816, 21.12688589698728, 20.599261328094762, 20.310728992244258, 20.438054852214485, 20.462531460095814, 20.573817055891013, 22.216879130026705, 22.043478739776727, 20.81383601627281, 20.41526532364073, 19.96758228534403, 20.012788696506533, 20.011951278830068, 20.108947576941492, 21.939604731417184, 22.86150994724914, 23.83669216543798, 25.735442214774373, 25.807957208475436, 25.324934183971454, 25.47899166135211, 21.647982376735673, 22.265246019217916, 22.209127791835126, 21.553570472815984, 29.103540187394703, 19.386234876780037, 20.416579819683186, 22.162721631588525, 22.765305977093774, 23.3194115119974, 20.467517823323472, 26.07784085887134, 20.962094771061217, 22.13882419028108, 24.2722479667175, 23.774319115949822, 21.951389013663977, 22.729371592174385, 24.218287637387373, 22.569687804845575, 25.283337002148496, 28.854557444654695, 23.34641790734977, 25.600621691300685, 27.6222571915722, 24.778574610968413, 25.30999552423197, 21.12002838630496, 23.022579936507718, 20.075651714661014]",611478,97a8eb323a89fd06,False,0.1,150.0,1.7777777777777777
counter,0.5,path_aware_v5_pure_sum,,32.12881776419263,0.9804989869395891,0.0013926295287092216,"[34.46505424466802, 33.38233577647238, 32.71781351569214, 32.49961442024816, 33.20093600011462, 33.28549535737592, 33.09824865785322, 33.313630195258064, 33.38968483456088, 33.35382915433827, 33.73441606209387, 33.963752009678736, 34.20222911447791, 34.27356029234185, 33.62485525780214, 32.90752090651268, 31.980455791909577, 31.46070049211755, 31.724271661517584, 31.40594386429406, 30.92136376780651, 29.882744845377523, 29.42708037960266, 29.195819616068373, 29.37226698187667, 30.55792191826867, 30.820652979271202, 31.027223490532336, 30.99751501250045, 30.85507773954354, 30.85955488339792, 31.054862736876828, 31.145529775511175, 31.24217160663347, 30.703826770352066, 31.071724406329963, 32.03789707712118, 33.00951496292345, 34.245368759763366, 34.19519315561134, 33.661219138591576, 34.3933009458152, 30.26452317401589, 27.851520920195874, 31.032628394749405, 30.804387419183044, 33.4666252909906, 30.057890930092928, 31.639353824032156, 32.79294031736595, 32.38441258436425, 30.99673936558066, 30.475360697526238, 34.61117902143322, 31.654336558892105, 29.731276314688863, 32.57829185048451, 31.221774623212593, 30.849971628797345, 30.929800676379124, 33.63682085494203, 32.40182838120689, 33.508839915157026, 38.323285402690374, 32.46918769438158, 33.38259305712316, 34.55678602554611, 33.238835929497974, 34.442604050720526, 30.045137479550572, 31.60954330833109, 29.65422477163445]",611478,c5cc69924d666072,False,0.1,150.0,1.7777777777777777
