scene,capture,method,keep_ratio,mean_psnr,n_train_poses
kitchen,dense,random,0.5,19.772308,244
kitchen,dense,visibility,0.5,18.464336,244
kitchen,dense,path_aware,0.5,22.865633,244
kitchen,dense,path_aware_v2_no_sigma,0.5,21.610493,244
kitchen,dense,path_aware_v3_sqrt_count,0.5,23.076581,244
kitchen,dense,path_aware_v4_log_count,0.5,23.313465,244
kitchen,dense,path_aware_v5_linear_falloff,0.5,23.909910,244
kitchen,dense,combined_0.7,0.5,22.959979,244
kitchen,dense,raster_importance,0.5,30.133392,244
kitchen,sparse,random,0.5,19.772308,49
kitchen,sparse,visibility,0.5,18.464336,49
kitchen,sparse,path_aware,0.5,22.675549,49
kitchen,sparse,path_aware_v2_no_sigma,0.5,21.619042,49
kitchen,sparse,path_aware_v3_sqrt_count,0.5,22.925030,49
kitchen,sparse,path_aware_v4_log_count,0.5,23.291139,49
kitchen,sparse,path_aware_v5_linear_falloff,0.5,23.780418,49
kitchen,sparse,combined_0.7,0.5,23.343133,49
kitchen,sparse,raster_importance,0.5,29.935862,49
